,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
0,-0.709918,-0.078782,0.258673,-0.050258,0.787072,0.294741,-0.093434,-0.371547,0.982233,0.871010,0.687071,-0.061299,-0.027823,-0.001806,0.234093,0.191881,0.386111,1.054137,-0.035028,0.039705
1,-0.287999,-0.072688,0.266319,-0.157996,0.387217,0.135079,0.028737,-0.337842,0.317603,0.540184,0.630013,-0.382615,-0.097080,0.059296,-0.010739,0.067633,0.340830,0.504924,-0.102396,0.120370
2,-0.183175,-0.155961,0.090013,0.021967,0.028449,0.076039,0.105161,-0.327489,-0.159901,0.497459,0.174515,-0.256381,0.097081,-0.268437,-0.113436,0.074362,0.255159,0.051380,0.075570,0.232999
3,-0.608965,0.154271,0.250460,0.073352,1.054367,0.395291,0.044689,-0.331199,1.063522,0.389052,0.364228,0.091547,-0.159042,-0.211247,0.148716,0.191816,0.208037,1.228281,0.075768,-0.016941
4,-0.372793,-0.085743,-0.048685,0.108001,0.139709,0.054971,0.032094,-0.399356,0.204420,0.313504,0.228298,-0.220477,0.104176,0.005469,-0.005075,0.050714,0.374267,0.284151,-0.080412,-0.001956
5,-0.318421,-0.043561,0.200095,0.084550,0.237706,0.160386,0.100771,-0.244771,0.409007,0.365358,0.257829,-0.165411,-0.060551,0.061882,-0.030314,0.087825,0.335268,0.386602,-0.084869,0.102807
6,-0.478003,-0.020500,0.305779,-0.133148,0.567768,0.236177,0.070108,-0.563138,0.586453,0.960064,0.833075,-0.491374,-0.028571,0.206080,-0.019788,0.092601,0.544977,0.770549,-0.128416,0.181188
7,-0.291274,0.077824,0.088357,-0.111135,0.371963,0.136091,-0.048414,-0.014051,0.569957,0.113838,0.126971,0.158630,-0.145543,-0.127653,0.132120,0.027582,0.054629,0.524579,0.098487,-0.018299
8,-0.322746,-0.049188,-0.058211,0.098659,0.190537,0.148125,-0.076766,-0.408834,0.246840,0.393831,0.237985,-0.388388,0.109002,0.122559,-0.036939,-0.003826,0.277028,0.327239,-0.182174,-0.024662
9,-0.268764,-0.010473,0.213585,-0.078472,0.310362,0.116679,-0.065795,-0.330797,0.396933,0.580688,0.411088,-0.195849,0.013150,0.111233,0.022344,0.050245,0.251181,0.398233,-0.066673,0.081068
10,0.072837,-0.086131,0.250308,-0.201686,0.100762,0.110371,-0.175751,-0.282930,0.533560,0.273093,0.418456,-0.138874,0.040836,0.354949,0.042876,0.141399,0.205337,0.280182,-0.270876,0.165546
11,-0.662736,0.074868,0.181158,0.059742,0.578207,0.176992,-0.080773,-0.464801,0.752923,0.907458,0.635579,-0.461239,-0.008305,0.095064,-0.067495,-0.035860,0.597654,0.875851,-0.227000,0.289118
12,-0.337813,0.001125,0.378378,-0.000618,0.118837,0.004256,0.110191,-0.462700,0.151812,0.846033,0.550900,-0.412840,-0.051086,-0.038844,-0.167558,0.113136,0.486394,0.372732,-0.157744,0.267010
13,-0.210305,0.099942,0.348669,-0.286899,0.488383,0.026151,0.173846,-0.061972,0.230058,0.566358,0.524903,-0.170696,-0.146367,0.014740,-0.135093,-0.142764,0.259455,0.539051,0.085399,-0.017695
14,-0.375131,0.058058,0.147708,0.234648,0.421305,0.334414,-0.132103,-0.449143,0.374977,0.653711,0.459694,-0.215446,0.160755,0.025597,-0.084293,0.002462,0.317511,0.514448,-0.232656,0.184847
15,-0.388337,-0.161920,-0.150505,0.205177,0.003000,0.121594,-0.046750,-0.386171,0.224519,0.605595,0.228251,-0.291737,0.179033,-0.031935,0.032353,0.020348,0.093457,0.157009,-0.193449,0.136758
16,-0.450208,-0.018518,0.168312,-0.035107,0.637339,0.067041,0.178857,-0.240078,0.711464,0.539370,0.520831,-0.037316,-0.271602,-0.177381,0.046322,0.031685,0.245201,0.801318,0.088163,0.020950
17,-0.286322,-0.068715,0.102146,-0.110135,0.288758,0.169468,-0.016609,-0.303885,0.154824,0.465378,0.415192,-0.337793,0.027913,0.042906,-0.032617,0.079243,0.310321,0.342809,-0.002836,-0.005471
